,time,Backbone,C-alphas,Protein
0,0,9.35E-07,0,3.38E-08
1,1.000000033,0.691373837,0.668637276,1.024970716
2,2.000000066,0.762979236,0.735776139,1.093405025
3,3.000000099,0.771618824,0.749470158,1.140249455
4,4.000000131,0.896366893,0.869395277,1.276993688
5,5.000000164,0.896076319,0.87304262,1.287922464
6,6.000000197,0.960393784,0.938415936,1.342672565
7,7.00000023,0.938992866,0.912619544,1.35034059
8,8.000000263,0.848206368,0.824262065,1.315417795
9,9.000000296,0.852359072,0.831277982,1.328912886
10,10.00000033,0.848457651,0.81873352,1.332129246
11,11.00000036,0.826109021,0.799942317,1.33350972
12,12.00000039,0.90111528,0.87505919,1.392290463
13,13.00000043,0.926689959,0.897693352,1.402030903
14,14.00000046,0.928709446,0.906029904,1.406093001
15,15.00000049,0.949834892,0.923968135,1.409551118
16,16.00000053,0.872452961,0.84779908,1.370855592
17,17.00000056,0.915571599,0.886159208,1.38875927
18,18.00000059,0.958756728,0.933961404,1.45181206
19,19.00000062,0.947684473,0.919195469,1.426652741
20,20.00000066,0.96070695,0.926899928,1.465648842
21,21.00000069,0.944858345,0.923837234,1.442852265
22,22.00000072,1.01356936,0.981890268,1.537421323
23,23.00000076,0.909030399,0.882204656,1.440532902
24,24.00000079,0.972804179,0.948850015,1.486267319
25,25.00000082,1.085939615,1.057430624,1.586729407
26,26.00000085,0.962193776,0.943025648,1.518096374
27,27.00000089,1.003629102,0.983298495,1.514828212
28,28.00000092,1.08612759,1.062926969,1.595803013
29,29.00000095,1.109921361,1.089165147,1.612505077
30,30.00000099,1.082784031,1.06197566,1.596685731
31,31.00000102,1.193013573,1.174379316,1.694375921
32,32.00000105,1.093083254,1.07587739,1.622477553
33,33.00000108,1.066721054,1.037730018,1.54967174
34,34.00000112,1.120103223,1.101780777,1.61542565
35,35.00000115,1.138605153,1.122714566,1.639391461
36,36.00000118,1.157340636,1.145548174,1.63347975
37,37.00000122,1.268006706,1.256791697,1.749893395
38,38.00000125,1.167368742,1.15683626,1.669436324
39,39.00000128,1.33067858,1.32417131,1.800085664
40,40.00000131,1.228225062,1.212602509,1.731770281
41,41.00000135,1.155966605,1.133450935,1.656503515
42,42.00000138,1.200768223,1.181839484,1.71768402
43,43.00000141,1.302742354,1.291410354,1.808101469
44,44.00000145,1.142784085,1.119716864,1.644484443
45,45.00000148,1.162653733,1.143864347,1.690616431
46,46.00000151,1.110437479,1.08967195,1.6292725
47,47.00000154,1.152314311,1.130703204,1.63379897
48,48.00000158,1.162667695,1.147195769,1.664459621
49,49.00000161,1.17361579,1.158189394,1.685225139
50,50.00000164,1.153794735,1.136282367,1.671086704
51,51.00000168,1.194939514,1.175395454,1.720060085
52,52.00000171,0.980219634,0.963079907,1.597326248
53,53.00000174,1.029823024,1.002986373,1.583917334
54,54.00000177,0.931290023,0.905197138,1.550832264
55,55.00000181,1.07423908,1.05586119,1.635074834
56,56.00000184,1.135041066,1.106039218,1.653047086
57,57.00000187,1.291604297,1.279647816,1.821796091
58,58.00000191,1.103732037,1.079919544,1.694319411
59,59.00000194,1.124757055,1.102400609,1.671107508
60,60.00000197,0.978699587,0.957036682,1.579017345
61,61.000002,0.996498094,0.977302683,1.631182016
62,62.00000204,1.072887764,1.051390505,1.651284244
63,63.00000207,1.120412395,1.109049234,1.707453713
64,64.0000021,1.16715398,1.155861541,1.719865519
65,65.00000214,1.120549641,1.105382716,1.67089477
66,66.00000217,1.130910394,1.10853848,1.687255246
67,67.0000022,1.149541763,1.132431467,1.72341431
68,68.00000223,1.084497321,1.067294006,1.632360506
69,69.00000227,1.07421414,1.05409329,1.649991531
70,70.0000023,1.073881387,1.048483867,1.644308259
71,71.00000233,1.097050799,1.081130269,1.649719394
72,72.00000237,1.059489649,1.031600665,1.637987568
73,73.0000024,0.973135958,0.949696255,1.605154366
74,74.00000243,1.08103667,1.059611388,1.674210354
75,75.00000246,1.12649243,1.101801334,1.706967474
76,76.0000025,1.253588949,1.234821745,1.828304703
77,77.00000253,1.143770413,1.120671236,1.74210882
78,78.00000256,1.065431136,1.047298767,1.67757651
79,79.0000026,1.09235746,1.068747144,1.691653395
80,80.00000263,1.139377777,1.12088851,1.735475286
81,81.00000266,1.281311809,1.264116136,1.884691112
82,82.00000269,1.358748113,1.328488286,1.923029343
83,83.00000273,1.277173182,1.247615043,1.865529029
84,84.00000276,1.26840381,1.248791441,1.866469099
85,85.00000279,1.184081113,1.16261812,1.767465388
86,86.00000283,1.153448018,1.118652047,1.73905384
87,87.00000286,1.18786857,1.17037451,1.811668818
88,88.00000289,1.124338787,1.103959169,1.742752068
89,89.00000292,1.141275549,1.116642305,1.74541814
90,90.00000296,1.161039292,1.136598784,1.756802348
91,91.00000299,1.268357517,1.24397266,1.843986376
92,92.00000302,1.280218686,1.249747367,1.881365863
93,93.00000306,1.407917933,1.384637638,1.943821794
94,94.00000309,1.263857566,1.235373837,1.852004422
95,95.00000312,1.147748839,1.127034561,1.799121397
96,96.00000315,1.165778662,1.146006222,1.802414131
97,97.00000319,1.086408619,1.069512013,1.728916063
98,98.00000322,1.17993783,1.159314219,1.776755779
99,99.00000325,1.366607901,1.351602092,1.916770923
